real_set,method,bank,final_width,mean_width,final_coverage,anytime_coverage,width_10,width_20,width_50,width_100,width_200,n_runs
Real_20,vincent,gap_0.05,0.23979393815898772,0.3455791414867409,0.511,0.467,0.6366121037556368,0.5089781613129818,0.3739670786820171,0.29748998019700923,0.23979393815898772,2000
Real_20,vincent,gap_0.1,0.3128114220752908,0.41202762431661566,0.7945,0.783,0.6861138965444501,0.565794838537443,0.43898049870659833,0.3672374707356381,0.3128114220752908,2000
Real_20,vincent,gap_0.2,0.4473955857312225,0.5340515755579915,0.9995,0.9995,0.777169595935989,0.6709017022810787,0.5578602937455863,0.49490285057488986,0.4473955857312225,2000
Real_20,vincent,gap_0.3,0.5646447807555371,0.641039500282494,1.0,1.0,0.8561792020882534,0.764972721615044,0.6638847576406282,0.6070001800257518,0.5646447807555371,2000
Real_20,z_test,none,0.13765424642578972,0.24505688868205658,0.9995,0.976,0.5468000138019997,0.41419246770523355,0.27233957077653265,0.19363548759226878,0.13765424642578972,2000
Real_6,e_value_constant_0.25,none,0.17876666666666666,0.4585123333333334,1.0,1.0,1.0,1.0,0.6419333333333331,0.33163333333333334,0.17876666666666666,600
Real_6,e_value_constant_0.5,none,0.11433333333333337,0.3062221666666667,1.0,1.0,1.0,0.8253666666666667,0.3447333333333333,0.19026666666666667,0.11433333333333337,600
Real_6,e_value_wsr,none,0.11293333333333337,0.2152118333333334,1.0,0.9983333333333333,0.6244,0.35133333333333333,0.21283333333333332,0.15216666666666667,0.11293333333333337,600
Real_6,empirical_bernstein,none,0.16142508132270975,0.3994531558689672,1.0,1.0,1.0,0.9790745033006669,0.5002734487868948,0.27985454702098733,0.16142508132270975,600
Real_6,hoeffding,none,0.19206455826398416,0.3434977564229788,1.0,1.0,0.8319161768735852,0.6066373984364952,0.3841291165279683,0.2716203031481239,0.19206455826398416,600
Real_6,sequential_t_test,none,0.13675111329479697,0.2456664104086304,1.0,0.9833333333333333,0.6432742219920491,0.4214020104923065,0.25531679951292957,0.1858402742256103,0.13675111329479697,600
Real_6,sim2real,Ideal,0.07671875000000003,0.15211929166666668,1.0,0.9983333333333333,0.37675729166666666,0.24049375000000003,0.14735208333333333,0.10613541666666665,0.07671875000000003,600
Real_6,sim2real,Sim_10080,0.0903010416666667,0.16794183854166667,1.0,0.9783333333333334,0.3891041666666667,0.265028125,0.16748645833333334,0.12283854166666666,0.0903010416666667,600
Real_6,sim2real,Sim_252,0.08456875000000001,0.16412442708333336,1.0,0.9683333333333334,0.40043020833333337,0.2620374999999999,0.16256354166666667,0.11666875,0.08456875000000001,600
Real_6,sim2real,Sim_35,0.08178333333333335,0.16601369791666667,1.0,0.9883333333333333,0.4322770833333333,0.28046458333333335,0.16573125,0.11544687500000002,0.08178333333333335,600
Real_6,sim2real,Sim_756,0.08228229166666667,0.16056303125,1.0,0.99,0.38891562500000004,0.250334375,0.157265625,0.113775,0.08228229166666667,600
Real_6,sim2real,Sim_7_biased,0.2615322916666667,0.3221751197916667,0.9933333333333333,0.8933333333333333,0.5784822916666666,0.40275520833333334,0.30990625,0.27742083333333334,0.2615322916666667,600
Real_6,t_test,none,0.05369680775087995,0.10899501300679763,0.92,0.5733333333333334,0.25394550397504656,0.17530146432514593,0.10890826339744,0.07653511822235118,0.05369680775087995,600
Real_6,vincent,Ideal,0.15925487483040932,0.2678643963240996,1.0,1.0,0.5684949903291624,0.4328483264771153,0.2953755412605653,0.21809297329692523,0.15925487483040932,600
Real_6,vincent,gap_0.05,0.2305839645716764,0.3327510314265255,0.68,0.6683333333333333,0.6189716363308961,0.490098337960563,0.35812142632083754,0.2852076694885705,0.2305839645716764,600
Real_6,vincent,gap_0.1,0.29935818410503573,0.39605665479950375,0.99,0.9816666666666667,0.6685463920853787,0.5462609829785451,0.42044648432660237,0.3510543202167336,0.29935818410503573,600
Real_6,vincent,gap_0.2,0.42670404177235244,0.513626764283196,1.0,1.0,0.7607789323797046,0.6509191076443068,0.536594883365667,0.47340934989348776,0.42670404177235244,600
Real_6,vincent,gap_0.3,0.5424437811977751,0.620211792269188,1.0,1.0,0.8425613355159801,0.7455189670918624,0.6423645926153174,0.5849418022639499,0.5424437811977751,600
Real_6,z_test,none,0.13859038243496774,0.25459773795729457,1.0,1.0,0.6183597574514429,0.4382612702882907,0.27718076486993565,0.1959963984540054,0.13859038243496774,600
