real_set,method,bank,n,mean_width
Real_20,sim2real,Sim_10080,100,0.1414590625
Real_20,sim2real,Sim_10080,200,0.10686312500000002
Real_20,sim2real,Sim_252,10,0.43511500000000003
Real_20,sim2real,Sim_252,20,0.298154375
Real_20,sim2real,Sim_252,50,0.18949625
Real_20,sim2real,Sim_252,100,0.138765625
Real_20,sim2real,Sim_252,200,0.10247187499999998
Real_20,sim2real,Sim_35,10,0.44087656249999996
Real_20,sim2real,Sim_35,20,0.29859375
Real_20,sim2real,Sim_35,50,0.18610250000000003
Real_20,sim2real,Sim_35,100,0.1359034375
Real_20,sim2real,Sim_35,200,0.0990653125
Real_20,sim2real,Sim_756,10,0.440223125
Real_20,sim2real,Sim_756,20,0.294651875
Real_20,sim2real,Sim_756,50,0.1847228125
Real_20,sim2real,Sim_756,100,0.1358909375
Real_20,sim2real,Sim_756,200,0.10087125000000001
Real_20,sim2real,Sim_7_biased,10,0.5504906250000001
Real_20,sim2real,Sim_7_biased,20,0.41484968749999995
Real_20,sim2real,Sim_7_biased,50,0.3216165625
Real_20,sim2real,Sim_7_biased,100,0.2861021875
Real_20,sim2real,Sim_7_biased,200,0.26698093749999996
Real_20,t_test,none,10,0.2654943388119616
Real_20,t_test,none,20,0.18453688664415893
Real_20,t_test,none,50,0.11566629055614078
Real_20,t_test,none,100,0.08221647491107811
Real_20,t_test,none,200,0.05779126031288227
Real_20,vincent,Ideal,10,0.5577025081158965
Real_20,vincent,Ideal,20,0.42753257712521275
Real_20,vincent,Ideal,50,0.29269069710243634
Real_20,vincent,Ideal,100,0.21572732703663952
Real_20,vincent,Ideal,200,0.1575432259762861
Real_20,vincent,gap_0.05,10,0.6366121037556368
Real_20,vincent,gap_0.05,20,0.5089781613129818
Real_20,vincent,gap_0.05,50,0.3739670786820171
Real_20,vincent,gap_0.05,100,0.29748998019700923
Real_20,vincent,gap_0.05,200,0.23979393815898772
Real_20,vincent,gap_0.1,10,0.6861138965444501
Real_20,vincent,gap_0.1,20,0.565794838537443
Real_20,vincent,gap_0.1,50,0.43898049870659833
Real_20,vincent,gap_0.1,100,0.3672374707356381
Real_20,vincent,gap_0.1,200,0.3128114220752908
Real_20,vincent,gap_0.2,10,0.777169595935989
Real_20,vincent,gap_0.2,20,0.6709017022810787
Real_20,vincent,gap_0.2,50,0.5578602937455863
Real_20,vincent,gap_0.2,100,0.49490285057488986
Real_20,vincent,gap_0.2,200,0.4473955857312225
Real_20,vincent,gap_0.3,10,0.8561792020882534
Real_20,vincent,gap_0.3,20,0.764972721615044
Real_20,vincent,gap_0.3,50,0.6638847576406282
Real_20,vincent,gap_0.3,100,0.6070001800257518
Real_20,vincent,gap_0.3,200,0.5646447807555371
Real_20,z_test,none,10,0.5468000138019997
Real_20,z_test,none,20,0.41419246770523355
Real_20,z_test,none,50,0.27233957077653265
Real_20,z_test,none,100,0.19363548759226878
Real_20,z_test,none,200,0.13765424642578972
Real_6,e_value_constant_0.25,none,10,1.0
Real_6,e_value_constant_0.25,none,20,1.0
Real_6,e_value_constant_0.25,none,50,0.6419333333333331
Real_6,e_value_constant_0.25,none,100,0.33163333333333334
Real_6,e_value_constant_0.25,none,200,0.17876666666666666
Real_6,e_value_constant_0.5,none,10,1.0
Real_6,e_value_constant_0.5,none,20,0.8253666666666667
Real_6,e_value_constant_0.5,none,50,0.3447333333333333
Real_6,e_value_constant_0.5,none,100,0.19026666666666667
Real_6,e_value_constant_0.5,none,200,0.11433333333333337
Real_6,e_value_wsr,none,10,0.6244
Real_6,e_value_wsr,none,20,0.35133333333333333
Real_6,e_value_wsr,none,50,0.21283333333333332
Real_6,e_value_wsr,none,100,0.15216666666666667
Real_6,e_value_wsr,none,200,0.11293333333333337
Real_6,empirical_bernstein,none,10,1.0
Real_6,empirical_bernstein,none,20,0.9790745033006669
Real_6,empirical_bernstein,none,50,0.5002734487868948
Real_6,empirical_bernstein,none,100,0.27985454702098733
Real_6,empirical_bernstein,none,200,0.16142508132270975
Real_6,hoeffding,none,10,0.8319161768735852
Real_6,hoeffding,none,20,0.6066373984364952
Real_6,hoeffding,none,50,0.3841291165279683
Real_6,hoeffding,none,100,0.2716203031481239
Real_6,hoeffding,none,200,0.19206455826398416
Real_6,sequential_t_test,none,10,0.6432742219920491
Real_6,sequential_t_test,none,20,0.4214020104923065
Real_6,sequential_t_test,none,50,0.25531679951292957
Real_6,sequential_t_test,none,100,0.1858402742256103
Real_6,sequential_t_test,none,200,0.13675111329479697
Real_6,sim2real,Ideal,10,0.37675729166666666
Real_6,sim2real,Ideal,20,0.24049375000000003
Real_6,sim2real,Ideal,50,0.14735208333333333
Real_6,sim2real,Ideal,100,0.10613541666666665
Real_6,sim2real,Ideal,200,0.07671875000000003
Real_6,sim2real,Sim_10080,10,0.3891041666666667
Real_6,sim2real,Sim_10080,20,0.265028125
Real_6,sim2real,Sim_10080,50,0.16748645833333334
Real_6,sim2real,Sim_10080,100,0.12283854166666666
Real_6,sim2real,Sim_10080,200,0.0903010416666667
Real_6,sim2real,Sim_252,10,0.40043020833333337
Real_6,sim2real,Sim_252,20,0.2620374999999999
Real_6,sim2real,Sim_252,50,0.16256354166666667
Real_6,sim2real,Sim_252,100,0.11666875
Real_6,sim2real,Sim_252,200,0.08456875000000001
Real_6,sim2real,Sim_35,10,0.4322770833333333
Real_6,sim2real,Sim_35,20,0.28046458333333335
Real_6,sim2real,Sim_35,50,0.16573125
Real_6,sim2real,Sim_35,100,0.11544687500000002
Real_6,sim2real,Sim_35,200,0.08178333333333335
Real_6,sim2real,Sim_756,10,0.38891562500000004
Real_6,sim2real,Sim_756,20,0.250334375
Real_6,sim2real,Sim_756,50,0.157265625
Real_6,sim2real,Sim_756,100,0.113775
Real_6,sim2real,Sim_756,200,0.08228229166666667
Real_6,sim2real,Sim_7_biased,10,0.5784822916666666
Real_6,sim2real,Sim_7_biased,20,0.40275520833333334
Real_6,sim2real,Sim_7_biased,50,0.30990625
Real_6,sim2real,Sim_7_biased,100,0.27742083333333334
Real_6,sim2real,Sim_7_biased,200,0.2615322916666667
Real_6,t_test,none,10,0.25394550397504656
Real_6,t_test,none,20,0.17530146432514593
Real_6,t_test,none,50,0.10890826339744
Real_6,t_test,none,100,0.07653511822235118
Real_6,t_test,none,200,0.05369680775087995
Real_6,vincent,Ideal,10,0.5684949903291624
Real_6,vincent,Ideal,20,0.4328483264771153
Real_6,vincent,Ideal,50,0.2953755412605653
Real_6,vincent,Ideal,100,0.21809297329692523
Real_6,vincent,Ideal,200,0.15925487483040932
Real_6,vincent,gap_0.05,10,0.6189716363308961
Real_6,vincent,gap_0.05,20,0.490098337960563
Real_6,vincent,gap_0.05,50,0.35812142632083754
Real_6,vincent,gap_0.05,100,0.2852076694885705
Real_6,vincent,gap_0.05,200,0.2305839645716764
Real_6,vincent,gap_0.1,10,0.6685463920853787
Real_6,vincent,gap_0.1,20,0.5462609829785451
Real_6,vincent,gap_0.1,50,0.42044648432660237
Real_6,vincent,gap_0.1,100,0.3510543202167336
Real_6,vincent,gap_0.1,200,0.29935818410503573
Real_6,vincent,gap_0.2,10,0.7607789323797046
Real_6,vincent,gap_0.2,20,0.6509191076443068
Real_6,vincent,gap_0.2,50,0.536594883365667
Real_6,vincent,gap_0.2,100,0.47340934989348776
Real_6,vincent,gap_0.2,200,0.42670404177235244
Real_6,vincent,gap_0.3,10,0.8425613355159801
Real_6,vincent,gap_0.3,20,0.7455189670918624
Real_6,vincent,gap_0.3,50,0.6423645926153174
Real_6,vincent,gap_0.3,100,0.5849418022639499
Real_6,vincent,gap_0.3,200,0.5424437811977751
Real_6,z_test,none,10,0.6183597574514429
Real_6,z_test,none,20,0.4382612702882907
Real_6,z_test,none,50,0.27718076486993565
Real_6,z_test,none,100,0.1959963984540054
Real_6,z_test,none,200,0.13859038243496774
